,DOI
https://doi.org/10.1021/acs.organomet.7b00726,64
https://doi.org/10.1016/j.tetlet.2015.08.027,61
https://doi.org/10.1002/slct.201800541,59
https://doi.org/10.1016/j.jcat.2019.03.005,56
https://doi.org/10.1016/j.mcat.2017.07.021,55
https://doi.org/10.1007/s00706-018-2324-6,49
doi.org/10.1002/chem.201300480,48
https://doi.org/10.1016/j.poly.2019.114269,47
https://doi.org/10.1002/slct.201901031,46
https://doi.org/10.1021/ol801025u,45
https://doi.org/10.1080/00397911.2018.1554142,45
doi.org/10.1039/C5RA03869C,43
https://doi.org/10.1002/slct.201803144,42
https://doi.org/10.1016/j.tetlet.2009.03.146,42
https://doi.org/10.1002/ange.200704018,40
https://doi.org/10.1016/j.jcat.2017.02.010,39
https://doi.org/10.1002/slct.201600894,39
DOI: 10.1055/s-0030-1259542,38
https://doi.org/10.1021/ol0350947,38
DOI: 10.1002/anie.200906870,29
doi.org/10.1021/ol0170105,21
10.1055/s-0033-1339108,17
