,substrate
C#CC1=CC=CC=C1,241
OC1=CC=CC=C1,192
OB(C1=CC=CC=C1)O,67
SC1=CC=CC=C1,66
CC1=CC=C(C#C)C=C1,65
CC1(C)COB(C2=CC=CC=C2)OC1,49
COC1=CC=C(C#C)C=C1,40
C1=CC=CC=C1,29
OC1=CC=C(OC)C=C1,12
OC1=CC=C(Cl)C=C1,11
OC1=CC=C(C)C=C1,11
OC1=CC=CC(C)=C1,8
OC1=CC=C(C=CC=C2)C2=C1,8
C#CC1=CC=CC=N1,8
CCO[Si](C1=CC=C(OC)C=C1)(OCC)OCC,7
CC1=CC=CC=C1O,7
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,7
[H]C#CC(CCCCC)=O,7
OB(O)C1=CC=C(OC)C=C1,7
OB(O)C1=CC=C(Cl)C=C1,7
SC1=CC=C(OC)C=C1,6
C1(NC2=CC=CC=C2)=CC=CC=C1,6
OC1=C(OC)C=CC=C1,6
SCC1=CC=CC=C1,5
OC1=CN=CC=C1,5
SC1=CC=C(C)C=C1,5
SCCCC,5
C#CC1=CC=C(F)C=C1,4
OC1=CC=C(C(C)(C)C)C=C1,4
C#CCCCCCC,4
OC1=C(C)C=C(C)C=C1,3
CCO[Si](C1=CC=CS1)(OCC)OCC,3
OB(O)C1=CC=CN=C1,3
OB(O)C1=CC=C(C(C)=O)C=C1,3
CC1=CC=C([Si](OCC)(OCC)OCC)C=C1,3
OB(O)C1=CC=C(C=O)C=C1,3
OB(O)C1=CC=CC(Cl)=C1,2
FC1=CC=C(B(O)O)C=C1,2
C#CCOC1OCCCC1,2
C#CC1=CC=C(C#N)C=C1,2
CCO[Si](C1=CC=CC=C1)(OCC)OCC,2
CC1(COB(OC1)C2=CC=C(C=C2)C(F)(F)F)C,2
[H]COC1=CC=C(C#C)C=C1,2
OC1=CC=CC=C1Cl,2
OC1=CC=C([N+]([O-])=O)C=C1,2
OC1=CC=C(C#N)C=C1,2
CC1(COB(OC1)C2=CC=CO2)C,1
C#CCOC,1
CC(C)C(B(O)O)\C=C/CC,1
C#CC1=C(OC)C=CC=C1,1
C#CC1=C(C)C=CC=C1,1
FC1=CC=C(S)C=C1,1
OC1=CC=C(F)C=C1,1
OC1=CC(C(C)=O)=CC=C1,1
OC1=CC=C(C)C(C)=C1,1
OC1=CC=C(C2=CC=CC=C2)C=C1,1
C#CC1=CN=CC=C1,1
CCCCCCC#CBr,1
FC1=CC=C(B2OCC(C)(C)CO2)C=C1,1
C#CCC1CCCCC1,1
CC1(COB(OC1)C2=CC=CS2)C,1
CC/C([B@@]2OC1=CC=CC=C1O2)=C\CC,1
OC1=CC=CC2=C1C=CC=C2,1
ClC1=CC=C([Si](OCC)(OCC)OCC)C=C1,1
B(C1=CC=CC=C1)(O)O,1
CCO[Si](C1=CC=C(OC)C=C1)OCC,1
ClC(C=C2)=CC=C2B1OCC(C)(C)CO1,1
CC1(COB(OC1)C2=CC=C(C=C2)C#N)C,1
SC1=CC=C(N)C=C1,1
CC1(COB(OC1)C2=C(C=CC=C2)C)C,1
CC1(COB(OC1)C2=CC=CC3=C2C=CC=C3)C,1
SC1=CC=C(C#N)C=C1,1
