si.no,Smiles
1,C#CC1=CC=CC=C1
2,COC1=CC=C(C#C)C=C1
3,CC1=CC=C(C#C)C=C1
4,OB(C1=CC=C(C=O)C=C1)O
5,C#CC1=CN=CC=C1
6,IC1=CC=C(C(C)=O)C=C1
7,OB(C1=CC=CC=C1)O
8,OB(O)C1=CC=C(OC)C=C1
9,OB(O)C1=CC=C(Cl)C=C1
10,ClC(C=C2)=CC=C2B1OCC(C)(C)CO1
11,OB(O)C1=CC=C(C=O)C=C1
12,OB(O)C1=CC=C(C(C)=O)C=C1
13,OB(O)C1=CC=CN=C1
14,CC/C([B@@]2OC1=CC=CC=C1O2)=C\CC
15,FC1=CC=C(B2OCC(C)(C)CO2)C=C1
16,C#CC1=CC=CC=N1
17,C#CCC1CCCCC1
18,C#CCOC
19,BrC#CC1=CC=C(OC)C=C1
20,BrC#CC1=CC=C(C)C=C1
21,CCCCCCC#CBr
22,BrC#CC1=CC=CC=N1
23,FC1=CC=C(B(O)O)C=C1
24,OB(O)C1=CC=CC=C1C
25,OB(O)C1=CC=CC(Cl)=C1
26,CC(C)C(B(O)O)\C=C/CC
27,OC1=CC=CC=C1
28,OC1=CC=C(OC)C=C1
29,CC1=CC=CC=C1O
30,OC1=CC=C(C)C=C1
31,OC1=CC=C(Cl)C=C1
32,OC1=CC=CC=C1Cl
33,OC1=CC=C(C=CC=C2)C2=C1
34,OC1=CN=CC=C1
35,OC1=CC=C(C#N)C=C1
36,OC1=CC=C([N+]([O-])=O)C=C1
37,ClC1=CC=C(O)C=C1
38,OC1=CC=CC(C)=C1
39,OC1=CC=CC2=C1C=CC=C2
40,OC1=CC2=C(C=CC=C2)C=C1
