Si.no,Smiles,Name
1,C[C@H](N)C(O)=O,
2,C1(C(N=CC=C3)=C3C=C2)=C2C=CC=C1,
3,C1(C=CC=N2)=C2C(N=CC=C3)=C3C=C1,
4,C1(C2=NC=CC=C2)=CC=CC=N1,
5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,
6,C1(P(C3=CC=CC=C3)C2=CC=CC=C2)=CC=CC=C1,
7,C12=CC=C3C(N=CC=C3)=C1N=CC=C2,
8,C12=CC=CN=C1C3=NC=CC=C3C=C2,
9,C13=CC=CN=C1C2=NC=CC=C2C=C3,
10,CC(/C(C)=N/O)=N\O,
11,CC([C@H](N)C(O)=O)C,
12,CC(C(N)C(O)=O)C,
13,CC(C(O)=O)N,
14,CC(C[C@H](N)C(O)=O)C,
15,CC(CC(C)=O)=O,
16,CNCCNC,
17,N[C@@H]1[C@@H](N)CCCC1,
18,N[C@H]1[C@H](N)CCCC1,
19,N1(CC2)CCN2CC1,
20,NC(C(O)=O)C(C)C,
21,NC(C(O)=O)C(CC)C,
22,NC(C(O)=O)CC(C)C,
23,NCCN,
24,O[C@@H]1[C@@H](O)CCCC1,
25,O[C@]([C@@H]1CCCN1)=O,
26,O[C@H]1[C@H](O)CCCC1,
27,O=C([C@H]1NCCC1)O,
28,O=C(C1=NC=CC=C1)O,
29,O=C(C1NCCC1)O,
30,O=C(O)[C@@H]1CCCN1,
31,O=C(O)[C@H]1CCCN1,
32,OC(C1CCCN1)=O,
33,OC1=[C@@]([C@@]2=C(O)C=CC3=C2C=CC=C3)C4=CC=CC=C4C=C1,
34,OC1=C(C(C(C=CC=C2)=C2C=C3)=C3O)C4=C(C=C1)C=CC=C4,
35,OC1=C(C2=C(C=CC=C3)C3=CC=C2O)C4=CC=CC=C4C=C1,
36,OC1=CC=C2C(C=CC=C2)=C1C3=C4C(C=CC=C4)=CC=C3O,
37,OC2=CC=CC1=CC=CN=C12,
38,OCCO,
