,molecules
0,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C
1,C1(C#CC2=CC=CC=C2)=CC=CN=C1
2,CC1=CC(OC2=CC=C(OC)C=C2)=CC(C)=C1
3,CC1=CC(OC2=CC=CC=C2)=CC=C1
4,C1(OC2=CC=CC=C2)=CN=CC=C1
5,C1(OC2=CN=CC=C2)=CC=CC=C1
6,CC1=CC(OC2=CC=C([N+]([O-])=O)C=C2)=CC=C1
7,CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2
8,O=C(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)C
9,[C-]#[N+]C2=CC=C(C=C2)C#CC1=CC=CC=C1
10,N#CC(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2
11,CC1=CC=CC(OC2=CC=C(C#N)C=C2)=C1
12,N#CC1=CC=C(OC2=CN=CC=C2)C=C1
13,NC2=CC=C(C=C2)C#CC1=CC=CC=C1
14,CC(C=C2)=CC=C2C#CC1=CC=C(C(C)=O)C=C1
15,ClC(C=C2)=CC=C2C#CC1=CC=CC=C1
16,FC(C=C2)=CC=C2C#CC1=CC=CC=C1
17,O=CC(C=C2)=CC=C2C#CC1=CC=CC=C1
18,CC/C(C#CC1=CC=CC=C1)=C\CC
19,CC1=CC=C(C#CC2=CC=CC=C2)C=C1
20,CC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1
21,CC1=CC=C(C#CC2=CC=C(Cl)C=C2)C=C1
22,CC1=CC=C(C#CC2=CC=C(F)C=C2)C=C1
23,CC1=CC=C(C#CC2=CN=CC=C2)C=C1
24,ClC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1
25,COC1=CC=C(C#CC2=CC=C(OC)C=C2)C=C1
26,C1(C#CC2=CC=CC=C2)=CC=CC=C1
27,COC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1
28,C1(C#CC2=CC=CC=C2)=CC=NC=C1
29,COC(C=C2)=CC=C2C#CC1=CC=NC=C1
30,ClC(C=C2)=CC=C2C#CC1=CC=NC=C1
31,CCCCC#CC1=CC=CC=C1
32,COC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1
33,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1
34,C1(C#CC#CC2=CC=CC=C2)=CC=CC=N1
35,C1(CC#CC#CC2=CC=CC=C2)CCCCC1
36,CC(C=C1)=CC=C1C#CC#CCOC
37,COC2=CC=C(C=C2)C#CC1=CC=CC=C1
38,CC(C=C1)=CC=C1C#CC#CC2=CC=C(OC)C=C2
39,CC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2
40,COC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2
41,CC1=CC=C(C#CC#CC2=CC=C(C)C=C2)C=C1
42,C1(C#CC#CC2=CC=CC=C2)=CC=CC=C1
43,CC2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1
44,COC1=CC=C(C#CC#CC2=CC=C(OC)C=C2)C=C1
45,CCCCCCC#CC#CC1=CC=CC=C1
46,O=[N+](C(C=C1)=CC=C1C#CC2=CC=CC=C2)[O-]
47,CC1=CC(C)=CC(C#CC2=CC=CC=C2)=C1
48,FC(C1=CC(C#CC2=CC=CC=C2)=CC=C1)(F)F
49,CC1=CC=C(C#CC2=CC=C(N)C=C2)C=C1
50,FC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1
51,CC1=CC=C(C#CC2=C(C)C=CC=C2)C=C1
52,ClC1=CC=CC(C#CC2=CC=CC=C2)=C1
53,CC(C=C2)=CC=C2C#CC1=CC=C(C)C=C1
54,CC1=CC=C(C#CC(C(C)C)/C=C\CC)C=C1
55,O=[N+](C(C=C1)=CC=C1OC2=CC=CC=C2)[O-]
56,COC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
57,CC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
58,CC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
59,ClC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
60,ClC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
61,O=[N+](C1=CC=C(OC2=CC=C(C=CC=C3)C3=C2)C=C1)[O-]
62,O=[N+](C1=CC=C(OC2=CN=CC=C2)C=C1)[O-]
63,CC1=C(OC2=CC=C(OC)C=C2)C=CC([N+]([O-])=O)=C1
64,O=[N+](C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)[O-]
65,O=[N+](C1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1)[O-]
66,N#CC1=CC=C(OC2=CC=C(OC)C=C2)C=C1
67,CC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2
68,CC1=CC=CC=C1OC2=CC=C(C#N)C=C2
69,N#CC1=CC=C(OC2=CC=CC=C2)C=C1
70,ClC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2
71,ClC1=CC=CC=C1OC2=CC=C(C#N)C=C2
72,O=C(C)C1=CC=C(OC2=CC=CC=C2)C=C1
73,O=C(C)C1=CC=C(OC2=CC=C(C)C=C2)C=C1
74,CC(C2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1)=O
75,C1(OC2=CC=CC=C2)=CC=CC=C1
76,CC1=CC=C(OC2=CC=CC=C2)C=C1
77,COC(C=C1)=CC=C1OC2=CC=CC=C2
78,ClC(C=C1)=CC=C1OC2=CC=CC=C2
79,CC1=C(OC2=CC=CC=C2)C=CC=C1
80,FC(C1=CC(OC2=CC=CC=C2)=CC=C1)(F)F
