si.no,smiles
1,[O-]P([O-])([O-])=O.[K+].[K+].[K+]
2,O=C([O-])[O-].[K+].[K+]
3, [O-2].[Na+] 
4,O=C([O-])[O-].[Cs+].[Cs+]
5, CC(C)(C)[O-].[Na+] 
6,CCN(CC)CC
7,[F-].[K+]
8,CC(C)(C)[O-].[K+]  
9,[2H-].[Na+]
10, C1CN2CCN1CC2 
11,C(=O)([O-])[O-].[K+].[K+]  
12,C(=O)([O-])[O-].[K+].[K+] 
13, CC(C)(C)[O-].[Na+]  
14, [O-]P(=O)([O-])[O-].[K+].[K+].[K+]  
15,[OH-].[Na+]  
16,CC(C)(C)[O-].[Na+]  
17,C(=O)([O-])[O-].[Cs+].[Cs+]  
18,[2H-].[Na+]  
19,C(=O)([O-])[O-].[Na+].[Na+]  
20,CC(C)([O-])C.[Na+]
21,CC(C)([O-])C.[K+]
22,[OH-].[Na+]
23,[OH-].[K+]
24,[OH-][K+]
25,C(=O)([O-])[O-].[Na+].[Na+].[O]
26,C(=O)([O-])[O-].[Na+].[Na+]
27,[OH-].[Na+]  
28,C(=O)(O)[O-].[Na+]  
29,CC(C)(C)[O-].[K+] 
30,CC(C)(C)[O-].[Na+]  
31,C(=O)([O-])[O-].[Cs+].[Cs+] 
32,[OH-].[K+]  
33,[O-]P(=O)([O-])[O-].[K+].[K+].[K+] 
34, C(=O)(O)[O-].[Na+] 
35,C1CN2CCN1CC2 
36,CC(C)(C)[O-].[K+]
37,CC(C)(C)[O-].[Na+]
38,C(=O)([O-])[O-].[Na+].[Na+]  
