,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,RMSE,MAE,Correlation
6,Dataset2.0,random_forest,RDkitFP,None,None,0.2,10,26.344747643039785,20.406396438073468,0.32899759970833753
2,Dataset2.0,random_forest,RDkitFP,None,None,0.2,5,26.650970927372306,20.592391702763095,0.31330788728964276
14,Dataset2.0,random_forest,RDkitFP,None,None,0.3,10,26.343643204366852,20.159374415779673,0.2974350809766739
10,Dataset2.0,random_forest,RDkitFP,None,None,0.3,5,26.50498568330699,20.19227318745535,0.28880296555324114
7,Dataset2.0,random_forest,RxnFP,None,None,0.2,10,27.218334637809143,22.250927616737062,0.28375915051586587
15,Dataset2.0,random_forest,RxnFP,None,None,0.3,10,26.629182865962736,21.275151156436518,0.2821222893599622
3,Dataset2.0,random_forest,RxnFP,None,None,0.2,5,27.256229345314097,22.09658171296436,0.2817633905336099
9,Dataset2.0,random_forest,DFT,None,None,0.3,5,27.22704326479431,20.136809202059204,0.27959179321780214
11,Dataset2.0,random_forest,RxnFP,None,None,0.3,5,26.74781470091713,21.511509914012606,0.2757118148400275
12,Dataset2.0,random_forest,DRFP,None,None,0.3,10,26.823234187844477,20.40749378071526,0.27162157746916005
13,Dataset2.0,random_forest,DFT,None,None,0.3,10,27.40153632095876,20.00449581724582,0.27032827955724625
8,Dataset2.0,random_forest,DRFP,None,None,0.3,5,27.15719431692619,20.599434272750386,0.2533714569379042
4,Dataset2.0,random_forest,DRFP,None,None,0.2,10,27.80353155847209,21.11900806948892,0.25262956510605006
0,Dataset2.0,random_forest,DRFP,None,None,0.2,5,27.979852951388633,21.02641946777916,0.24312032405442918
1,Dataset2.0,random_forest,DFT,None,None,0.2,5,28.970231501569394,20.772528379028383,0.22116373087545327
5,Dataset2.0,random_forest,DFT,None,None,0.2,10,30.124823878855167,21.321516835016833,0.15784647767179238
